"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","43,400.0","42,700.0","43,400.0","42,300.0","882.10K","1.64%"
"12/28/2023","42,700.0","43,000.0","43,150.0","42,700.0","1.10M","-0.70%"
"12/27/2023","43,000.0","42,800.0","43,200.0","42,800.0","938.90K","0.00%"
"12/26/2023","43,000.0","43,200.0","43,550.0","42,700.0","1.16M","-0.46%"
"12/25/2023","43,200.0","42,500.0","43,300.0","42,000.0","1.17M","1.77%"
"12/22/2023","42,450.0","41,800.0","42,450.0","41,400.0","1.19M","1.56%"
"12/21/2023","41,800.0","40,900.0","41,900.0","40,900.0","1.14M","1.21%"
"12/20/2023","41,300.0","41,900.0","42,000.0","40,800.0","1.02M","0.24%"
"12/19/2023","41,200.0","41,000.0","41,500.0","40,550.0","823.30K","0.49%"
"12/18/2023","41,000.0","41,050.0","41,500.0","40,500.0","678.40K","-1.20%"
"12/15/2023","41,500.0","41,450.0","41,700.0","41,250.0","562.00K","-0.24%"
"12/14/2023","41,600.0","41,650.0","41,800.0","41,300.0","779.80K","0.00%"
"12/13/2023","41,600.0","41,900.0","42,000.0","40,600.0","793.40K","-0.72%"
"12/12/2023","41,900.0","41,500.0","42,050.0","41,200.0","956.50K","1.21%"
"12/11/2023","41,400.0","42,000.0","42,200.0","41,350.0","1.59M","-1.19%"
"12/08/2023","41,900.0","40,600.0","42,000.0","40,600.0","2.41M","3.20%"
"12/07/2023","40,600.0","40,350.0","41,000.0","40,000.0","1.96M","1.50%"
"12/06/2023","40,000.0","39,650.0","40,400.0","39,400.0","1.16M","0.88%"
"12/05/2023","39,650.0","39,800.0","39,900.0","39,400.0","654.40K","-0.38%"
"12/04/2023","39,800.0","39,500.0","39,800.0","39,350.0","711.90K","1.02%"
"12/01/2023","39,400.0","38,900.0","39,500.0","38,850.0","761.10K","1.42%"
"11/30/2023","38,850.0","39,000.0","39,500.0","38,800.0","726.30K","-1.15%"
"11/29/2023","39,300.0","39,000.0","39,300.0","38,900.0","811.80K","1.16%"
"11/28/2023","38,850.0","39,000.0","39,000.0","38,200.0","833.90K","1.81%"
"11/27/2023","38,158.0","38,735.0","38,735.0","37,980.0","842.47K","-1.49%"
"11/24/2023","38,735.0","38,158.0","38,735.0","37,625.0","913.92K","1.51%"
"11/23/2023","38,158.0","39,045.0","39,045.0","38,158.0","851.15K","-1.38%"
"11/22/2023","38,690.0","39,001.0","39,045.0","38,513.0","831.77K","-0.80%"
"11/21/2023","39,001.0","38,779.0","39,001.0","38,158.0","928.79K","1.85%"
"11/20/2023","38,291.0","37,270.0","38,912.0","37,270.0","912.56K","0.58%"
"11/17/2023","38,069.0","39,045.0","39,045.0","37,758.0","1.36M","-1.94%"
"11/16/2023","38,823.0","39,267.0","39,400.0","38,557.0","1.09M","-0.91%"
"11/15/2023","39,178.0","38,513.0","39,178.0","38,335.0","1.63M","2.67%"
"11/14/2023","38,158.0","37,492.0","38,557.0","37,492.0","1.77M","2.14%"
"11/13/2023","37,359.0","37,448.0","37,892.0","37,226.0","534.04K","-0.24%"
"11/10/2023","37,448.0","37,625.0","38,069.0","37,359.0","707.02K","-1.52%"
"11/09/2023","38,025.0","38,158.0","38,291.0","37,803.0","852.73K","-0.12%"
"11/08/2023","38,069.0","36,960.0","38,158.0","36,871.0","1.09M","2.63%"
"11/07/2023","37,093.0","37,270.0","37,270.0","36,827.0","598.72K","0.00%"
