"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","27,100.0","27,200.0","27,350.0","27,100.0","4.66M","0.00%"
"12/28/2023","27,100.0","26,850.0","27,100.0","26,750.0","2.98M","0.93%"
"12/27/2023","26,850.0","26,800.0","26,900.0","26,750.0","3.01M","0.19%"
"12/26/2023","26,800.0","26,850.0","26,950.0","26,800.0","3.25M","-0.37%"
"12/25/2023","26,900.0","26,550.0","26,900.0","26,500.0","4.08M","1.70%"
"12/22/2023","26,450.0","26,500.0","26,600.0","26,350.0","2.17M","-0.38%"
"12/21/2023","26,550.0","26,400.0","26,600.0","26,250.0","2.58M","0.00%"
"12/20/2023","26,550.0","26,300.0","26,600.0","26,200.0","2.39M","0.19%"
"12/19/2023","26,500.0","26,100.0","26,500.0","25,950.0","2.31M","1.73%"
"12/18/2023","26,050.0","26,500.0","26,700.0","26,050.0","3.84M","-2.43%"
"12/15/2023","26,700.0","26,500.0","26,850.0","26,350.0","3.97M","-0.19%"
"12/14/2023","26,750.0","26,950.0","26,950.0","26,450.0","3.87M","0.00%"
"12/13/2023","26,750.0","27,150.0","27,350.0","26,700.0","3.63M","-0.93%"
"12/12/2023","27,000.0","26,900.0","27,000.0","26,700.0","3.35M","0.56%"
"12/11/2023","26,850.0","26,950.0","27,050.0","26,700.0","2.20M","-0.19%"
"12/08/2023","26,900.0","27,000.0","27,100.0","26,700.0","3.72M","0.00%"
"12/07/2023","26,900.0","26,750.0","27,100.0","26,550.0","5.66M","0.94%"
"12/06/2023","26,650.0","26,500.0","26,700.0","26,500.0","3.21M","0.57%"
"12/05/2023","26,500.0","26,600.0","26,700.0","26,500.0","2.55M","-0.19%"
"12/04/2023","26,550.0","26,450.0","26,600.0","26,250.0","7.64M","0.95%"
"12/01/2023","26,300.0","26,450.0","26,450.0","26,000.0","1.96M","0.00%"
"11/30/2023","26,300.0","26,300.0","26,700.0","26,150.0","2.65M","-0.04%"
"11/29/2023","26,310.7","26,221.2","26,445.0","26,131.8","2.85M","0.34%"
"11/28/2023","26,221.2","26,221.2","26,221.2","25,818.5","2.31M","-0.34%"
"11/27/2023","26,310.7","26,534.5","26,534.5","26,042.3","1.60M","-0.68%"
"11/24/2023","26,489.7","26,131.8","26,489.7","25,684.3","3.45M","1.37%"
"11/23/2023","26,131.8","26,624.0","26,624.0","26,131.8","2.14M","-1.35%"
"11/22/2023","26,489.7","26,400.2","26,579.2","26,266.0","2.07M","0.68%"
"11/21/2023","26,310.7","26,713.5","26,713.5","26,310.7","2.05M","-0.51%"
"11/20/2023","26,445.0","26,131.8","26,624.0","26,042.3","2.42M","-0.50%"
"11/17/2023","26,579.2","27,026.7","27,116.2","26,355.5","4.78M","-1.82%"
"11/16/2023","27,071.4","26,802.9","27,116.2","26,758.2","2.51M","0.17%"
"11/15/2023","27,026.7","26,937.2","27,384.6","26,937.2","6.00M","1.34%"
"11/14/2023","26,668.7","26,713.5","26,937.2","26,489.7","4.17M","1.36%"
"11/13/2023","26,310.7","26,221.2","26,445.0","26,131.8","3.50M","0.00%"
"11/10/2023","26,310.7","26,176.5","26,310.7","25,908.0","3.89M","-0.34%"
"11/09/2023","26,400.2","26,266.0","26,624.0","26,131.8","5.15M","0.85%"
