"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","80,300","83,500","83,900","80,300","1.62M","-3.02%"
"12/28/2023","82,800","82,700","83,100","82,400","703.20K","0.12%"
"12/27/2023","82,700","82,900","83,200","82,500","899.60K","-0.12%"
"12/26/2023","82,800","82,000","82,800","82,000","971.20K","1.22%"
"12/25/2023","81,800","80,900","81,800","80,700","1.30M","1.11%"
"12/22/2023","80,900","80,900","81,100","80,400","1.58M","0.00%"
"12/21/2023","80,900","81,000","81,000","80,300","2.03M","-0.25%"
"12/20/2023","81,100","81,200","81,300","80,500","1.87M","-0.12%"
"12/19/2023","81,200","81,500","81,500","80,100","1.96M","-0.37%"
"12/18/2023","81,500","82,800","82,900","81,500","1.80M","-0.85%"
"12/15/2023","82,200","84,000","84,400","82,200","2.53M","-2.61%"
"12/14/2023","84,400","84,000","84,500","84,000","840.60K","0.84%"
"12/13/2023","83,700","84,200","84,500","83,700","1.15M","-0.59%"
"12/12/2023","84,200","84,700","84,700","84,000","1.01M","0.00%"
"12/11/2023","84,200","85,000","85,300","84,100","1.40M","-0.94%"
"12/08/2023","85,000","85,200","85,500","85,000","1.18M","-0.23%"
"12/07/2023","85,200","85,700","86,000","85,000","992.30K","-0.81%"
"12/06/2023","85,900","85,300","86,000","85,000","638.00K","0.59%"
"12/05/2023","85,400","86,000","86,100","84,800","992.80K","-0.70%"
"12/04/2023","86,000","85,400","86,200","84,800","888.10K","1.18%"
"12/01/2023","85,000","84,900","85,000","84,100","714.70K","0.35%"
"11/30/2023","84,700","85,100","85,400","84,700","927.60K","-0.47%"
"11/29/2023","85,100","85,400","85,900","85,100","733.10K","-0.82%"
"11/28/2023","85,800","85,500","85,900","84,800","779.40K","0.00%"
"11/27/2023","85,800","86,000","86,000","85,100","443.00K","-0.23%"
"11/24/2023","86,000","85,500","86,000","85,000","734.50K","0.58%"
"11/23/2023","85,500","86,700","86,800","85,500","647.20K","-1.38%"
"11/22/2023","86,700","86,300","86,700","85,500","1.01M","0.12%"
"11/21/2023","86,600","86,100","86,700","85,800","1.15M","0.58%"
"11/20/2023","86,100","85,600","87,000","85,000","1.10M","0.58%"
"11/17/2023","85,600","87,800","87,900","85,500","1.59M","-2.73%"
"11/16/2023","88,000","87,000","88,000","86,700","1.28M","0.34%"
